name,rating,position,nation,team,pac,sho,pas,dri,def,phy
A. Lunin,75,GK,Ukraine,Real Madrid CF,74,71,73,76,37,75
D. Kyereh,75,CAM,Ghana,Sport-Club Freiburg,81,72,66,80,24,62
N. Pérez,75,CB,Argentina,Udinese Calcio,57,25,47,51,77,74
U. Račić,75,CM,Serbia,SC Braga,62,73,74,72,76,80
G. Bushchan,75,GK,Ukraine,Dynamo Kyiv,76,65,80,78,27,72
J. Lindstrøm,75,CAM,Denmark,Eintracht Frankfurt,87,70,69,78,48,63
L. Tawamba,75,ST,Cameroon,Al Taawoun,64,75,56,70,24,83
P. Bucha,75,CAM,Czech Republic,FC Viktoria Plzeň,71,71,75,76,67,66
Bruno Costa,75,CM,Portugal,FC Porto,67,72,75,75,64,62
S. Giménez,75,ST,Mexico,Feyenoord,74,76,67,71,52,80
M. Sadílek,75,CDM,Czech Republic,FC Twente,73,61,70,73,72,78
T. Bašić,75,CM,Croatia,Lazio,59,66,75,73,72,78
E. Destanoğlu,75,GK,Turkey,Beşiktaş JK,75,74,73,75,38,75
M. Kumbulla,75,CB,Albania,Roma,49,32,53,56,77,77
P. Beruatto,75,LB,Italy,Pisa,70,43,59,65,75,69
K. Furuhashi,75,ST,Japan,Celtic,87,75,68,73,47,66
C. Cáceda,75,GK,Peru,FBC Melgar,75,75,70,78,30,71
G. Rutter,75,ST,France,TSG Hoffenheim,77,74,59,77,24,64
Moncayola,75,CM,Spain,CA Osasuna,62,65,73,71,73,67
M. Ngadeu,75,CB,Cameroon,KAA Gent,60,44,56,61,74,83
O. Mangala,75,CM,Belgium,Nottingham Forest,64,54,71,82,70,72
F. Pizzini,75,RM,Argentina,Club Atlético Talleres,80,69,72,78,40,66
J. Martin,75,CM,France,LOSC Lille,58,67,76,75,71,73
D. Pelkas,75,CAM,Greece,Hull City,77,69,73,77,43,58
L. Waldschmidt,75,CAM,Germany,VfL Wolfsburg,68,78,70,76,29,61
A. Brignoli,75,GK,Italy,Panathinaikos FC,74,73,75,77,32,75
T. Hamed,75,CDM,Egypt,Al Ittihad,62,58,67,69,74,78
Unai López,75,CAM,Spain,Rayo Vallecano,71,70,77,76,67,69
A. Buksa,75,ST,Poland,Racing Club de Lens,67,74,57,70,31,76
Álvaro,75,CB,Spain,Al Nassr,59,34,58,55,74,79
A. Lozano,75,ST,Honduras,Cádiz CF,79,75,66,71,37,74
S. Posch,75,CB,Austria,Bologna,75,29,50,45,79,71
D. Mihailovic,75,CAM,United States,Club de Foot Montréal,72,70,76,76,60,68
Samu Castillejo,75,RM,Spain,Valencia CF,79,67,72,80,43,52
J. Leca,75,GK,France,Racing Club de Lens,75,72,76,77,41,73
Silas,75,ST,Congo DR,VfB Stuttgart,87,71,61,80,52,65
A. Ayew,75,CF,Ghana,Free agent,69,76,72,77,57,74
C. Lema,75,CB,Argentina,Newell's Old Boys,35,53,56,41,76,82
José Callejón,75,RM,Spain,Granada CF,75,72,75,77,48,58
O. Dorley,75,LM,Liberia,SK Slavia Praha,83,55,74,76,69,69
J. Lotomba,75,RWB,Switzerland,OGC Nice,79,48,66,73,71,66
M. Sarr,75,CB,France,AS Monaco,67,52,69,65,75,74
P. Schuurs,75,CB,Netherlands,Torino F.C.,66,64,71,66,76,74
Cote,75,LB,Spain,Real Sporting de Gijón,64,54,75,70,74,67
Salva Sevilla,75,CDM,Spain,Deportivo Alavés,37,72,79,71,70,62
Danisco Fachini,75,CDM,Brazil,Flamengo,66,43,67,69,74,70
K. Itakura,75,CB,Japan,Borussia Mönchengladbach,74,45,59,67,77,76
J. Bellegarde,75,CM,France,RC Strasbourg Alsace,78,62,72,76,70,71
Borja Bastón,75,ST,Spain,Real Oviedo,49,77,63,66,37,79
W. Hughes,75,CM,England,Crystal Palace,48,64,77,76,68,63
V. Claesson,75,LM,Sweden,F.C. København,74,72,72,75,50,73
Escudero,75,LB,Spain,Real Valladolid CF,67,63,72,70,76,69
Joshuando Sá,75,LB,Brazil,Santos,73,44,64,65,75,73
J. De Sart,75,CM,Belgium,KAA Gent,47,72,76,70,72,71
L. Janson,75,LW,Argentina,Vélez Sarsfield,84,72,66,79,36,63
L. Tousart,75,CB,France,Hertha BSC,63,53,64,66,76,82
J. Gbamin,75,CB,Côte d'Ivoire,Trabzonspor,72,56,71,72,76,72
C. Cueva,75,LW,Peru,Al Fateh,75,69,72,78,41,60
N. Collins,75,CB,Republic of Ireland,Wolverhampton Wanderers,71,30,54,61,76,76
C. Chambers,75,CB,England,Aston Villa,65,56,69,68,76,73
H. Reed,75,CDM,England,Fulham,69,57,72,70,72,74
Kike García,75,ST,Spain,CA Osasuna,57,76,64,73,44,73
M. Ducksch,75,ST,Germany,SV Werder Bremen,70,76,67,69,34,69
M. Wittek,75,LWB,Germany,Vitesse,78,68,69,73,67,74
D. Foulquier,75,RB,France,Valencia CF,76,63,68,71,72,77
Tiago Djaló,75,CB,Portugal,LOSC Lille,81,42,60,63,76,77
B. Costil,75,GK,France,AJ Auxerre,73,74,75,75,49,76
B. Gomis,75,ST,France,Galatasaray SK,33,80,68,67,36,67
Y. Adli,75,CAM,France,AC Milan,66,70,76,75,66,69
Júnior Caiçara,75,RB,Brazil,İstanbul Başakşehir FK,80,58,72,75,70,67
Gabriel Strefezza,75,CAM,Brazil,Lecce,82,64,72,77,27,50
U. Antuna,75,RM,Mexico,Free agent,91,72,64,78,31,53
E. Hysaj,75,LB,Albania,Lazio,75,51,65,72,72,72
I. Sissoko,75,CDM,France,RC Strasbourg Alsace,62,60,71,70,72,84
M. Kumbulla,75,CB,Albania,Roma,49,32,53,56,77,77
Y. Mvogo,75,GK,Switzerland,FC Lorient,75,72,75,76,42,73
Kaíquão Castro,75,GK,Brazil,Fluminense,77,76,61,73,36,72
A. Begović,75,GK,Bosnia and Herzegovina,Everton,75,77,73,71,43,73
M. Valjent,75,CB,Slovakia,RCD Mallorca,64,36,58,64,75,83
Moleiro,75,CAM,Spain,Unión Deportiva Las Palmas,77,66,72,78,46,59
D. Turnbull,75,CAM,Scotland,Celtic,68,72,77,74,63,65
Santi Comesaña,75,CDM,Spain,Rayo Vallecano,59,68,67,70,73,73
M. Aebischer,75,CM,Switzerland,Bologna,71,65,75,75,65,74
A. Caci,75,LWB,France,1. FSV Mainz 05,69,52,68,67,75,72
E. Atuesta,75,CM,Colombia,Free agent,63,58,75,76,68,70
Aarón,75,LWB,Spain,1. FSV Mainz 05,61,47,70,75,72,67
A. Elis,75,ST,Honduras,FC Girondins de Bordeaux,91,72,65,75,31,77
Alam Lindeiro,75,LB,Brazil,Atlético Clube Goianiense,72,42,68,70,73,62
M. Gibbs-White,75,CAM,England,Nottingham Forest,76,70,73,76,57,66
Gabriel Strefezza,75,CAM,Brazil,Lecce,82,64,72,77,27,50
R. Sessegnon,75,LM,England,Tottenham Hotspur,82,65,72,77,68,66
Pol Lirola,75,RWB,Spain,Elche CF,75,62,71,73,71,70
A. Pinamonti,75,ST,Italy,U.S. Sassuolo Calcio,74,77,53,71,27,72
M. Di Gregorio,75,GK,Italy,AC Monza,77,74,71,78,30,75
G. Til,75,ST,Netherlands,PSV,69,75,70,72,61,75
Cucho Hernández,75,ST,Colombia,Columbus Crew,82,75,65,73,42,74
V. Nelsson,75,CB,Denmark,Galatasaray SK,71,43,62,64,74,83
D. Geiger,75,CM,Germany,TSG Hoffenheim,53,53,74,79,61,58
J. Bellegarde,75,CM,France,RC Strasbourg Alsace,78,62,72,76,70,71
M. Sarr,75,CB,France,AS Monaco,67,52,69,65,75,74
J. Mosquera,75,LM,Colombia,FC Viktoria Plzeň,78,70,70,75,59,76
Pedrinho,75,CAM,Portugal,MKE Ankaragücü,77,71,77,77,59,61
D. Liénard,75,CM,France,RC Strasbourg Alsace,53,70,79,73,72,71
Jean,75,GK,Brazil,Club Cerro Porteño,74,75,68,78,29,76
Toni Martínez,75,ST,Spain,FC Porto,69,76,59,72,24,77
Y. Wissa,75,LW,Congo DR,Brentford,86,74,65,76,28,68
J. Lotomba,75,RWB,Switzerland,OGC Nice,79,48,66,73,71,66
Dodô,75,RM,Brazil,Fiorentina,88,59,71,77,68,70
S. Birindelli,75,RWB,Italy,AC Monza,84,49,64,72,71,66
J. Willock,75,CAM,England,Newcastle United,76,72,69,77,67,70
J. McArthur,75,CDM,Scotland,Crystal Palace,52,67,71,72,74,68
M. Okugawa,75,CAM,Japan,DSC Arminia Bielefeld,80,66,70,80,43,45
R. Olsen,75,GK,Sweden,Aston Villa,76,74,78,75,35,75
Cesinha,75,CF,Brazil,Daegu FC,81,76,72,75,32,72
P. Schuurs,75,CB,Netherlands,Torino F.C.,66,64,71,66,76,74
M. Bayo,75,ST,Guinea,LOSC Lille,70,76,60,73,26,62
J. El Yamiq,75,CB,Morocco,Real Valladolid CF,86,48,52,62,74,80
D. Martínez,75,CB,Paraguay,River Plate,79,54,70,66,74,79
Junior Firpo,75,LWB,Spain,Leeds United,75,62,70,71,72,75
Y. Atal,75,RM,Algeria,OGC Nice,88,67,71,79,68,68
Carles Pérez,75,CAM,Spain,RC Celta de Vigo,80,73,68,79,36,62
Paulinho,75,CAM,Brazil,Bayer 04 Leverkusen,85,68,71,81,36,63
E. Shomurodov,75,ST,Uzbekistan,Roma,82,74,63,75,39,70
M. Boadu,75,ST,Netherlands,AS Monaco,88,74,62,76,28,66
K. Wagner,75,LB,Germany,Philadelphia Union,78,48,64,69,73,78
K. Dewsbury-Hall,75,CM,England,Leicester City,66,64,74,75,66,71
M. Bakker,75,LB,Netherlands,Bayer 04 Leverkusen,85,53,66,71,72,75
Wilson Manafá,75,RB,Portugal,FC Porto,85,58,67,72,69,68
E. Pinnock,75,CB,Jamaica,Brentford,67,37,57,61,76,79
Rodrigo Becão,75,CB,Brazil,Udinese Calcio,49,33,56,49,78,71
R. Vargas,75,LM,Switzerland,FC Augsburg,89,69,67,79,54,64
Michael,75,LW,Brazil,Al Hilal,84,70,63,83,28,56
Nacho Vidal,75,RB,Spain,CA Osasuna,75,56,69,69,72,65
U. Antuna,75,RM,Mexico,Free agent,91,72,64,78,31,53
K. Danso,75,CB,Austria,Racing Club de Lens,79,32,50,57,73,78
D. Muñoz,75,RB,Colombia,KRC Genk,78,50,66,70,73,75
M. Camara,75,CM,Guinea,Roma,76,74,72,74,73,81
D. Mihailovic,75,CAM,United States,Club de Foot Montréal,72,70,76,76,60,68
A. Sambi Lokonga,75,CM,Belgium,Arsenal,66,58,75,78,69,69
Joshuando Sá,75,LB,Brazil,Santos,73,44,64,65,75,73
B. Brereton Díaz,75,ST,Chile,Blackburn Rovers,84,73,63,74,41,76
Nico González,75,CDM,Spain,Valencia CF,66,63,74,72,73,78
W. Omari,75,CB,France,Stade Rennais FC,65,34,58,61,77,73
A. Truffert,75,LWB,France,Stade Rennais FC,73,55,70,73,72,68
J. Šutalo,75,CB,Croatia,Dinamo Zagreb,78,29,58,67,76,77
F. Farías,75,CAM,Argentina,Club Atlético Colón,86,72,69,83,39,70
A. Broja,75,ST,Albania,Chelsea,76,74,54,75,29,76
K. Sulemana,75,RM,Ghana,Stade Rennais FC,93,69,66,80,28,62
N. Rovella,75,CM,Italy,AC Monza,72,61,74,76,68,64
C. Roldan,75,CM,United States,Seattle Sounders FC,74,69,72,75,70,81
O. Dorley,75,LM,Liberia,SK Slavia Praha,83,55,74,76,69,69
M. Bard,75,LB,France,OGC Nice,76,52,67,74,71,70
J. Gallardo,75,LB,Mexico,Free agent,83,67,70,75,69,74
M. Eggestein,75,CDM,Germany,Sport-Club Freiburg,59,63,70,73,71,74
Kaku,75,CAM,Paraguay,Al Taawoun,81,68,73,77,52,64
O. Colley,75,CB,Gambia,U.C. Sampdoria,65,31,48,54,74,83
Gonçalo Ramos,75,ST,Portugal,SL Benfica,77,73,64,74,40,80
Tiago Tomás,75,ST,Portugal,VfB Stuttgart,87,70,58,77,38,69
A. Theate,75,CB,Belgium,Stade Rennais FC,72,40,51,53,75,79
João Mário,75,RM,Portugal,FC Porto,86,62,68,75,69,63
A. Knauff,75,RM,Germany,Eintracht Frankfurt,87,62,68,77,51,58
J. Juranović,75,RB,Croatia,Celtic,86,64,73,74,70,68
N. Seiwald,75,CM,Austria,FC Red Bull Salzburg,73,62,73,72,72,73
O. Lingr,75,CAM,Czech Republic,SK Slavia Praha,79,73,71,77,44,78
K. Aktürkoğlu,75,CAM,Turkey,Galatasaray SK,84,70,67,77,37,56
M. Gusto,75,RB,France,Olympique Lyonnais,86,49,68,70,67,71
Gabriel Veron,75,CAM,Brazil,FC Porto,84,68,68,79,28,50
A. Varela,75,CDM,Argentina,Boca Juniors,70,59,72,72,71,74
M. Uzuni,75,LM,Albania,Granada CF,83,72,66,79,27,63
T. Livramento,75,RB,England,Southampton,83,47,65,74,70,67
A. Mandous,75,GK,Czech Republic,SK Slavia Praha,76,75,79,77,19,73
I. Schranz,75,ST,Slovakia,SK Slavia Praha,83,75,67,74,65,76
J. Pešek,75,RM,Czech Republic,AC Sparta Praha,86,69,69,77,28,49
T. Minamino,75,CAM,Japan,AS Monaco,78,74,70,81,38,62
F. Sotoca,75,ST,France,Racing Club de Lens,74,72,69,71,43,80
Pascoal Muscato,75,CDM,Brazil,Santos,58,68,69,70,73,76
Leo Vimieiro,75,LB,Brazil,São Paulo,73,52,66,70,74,71
Simão Donatinho,75,GK,Brazil,Sport Club Corinthians Paulista,76,70,77,75,43,75
Enaldo Praz,75,LB,Brazil,Sport Club Corinthians Paulista,70,49,68,65,74,71
Walexinton,75,GK,Brazil,Club Athletico Paranaense,74,71,69,76,37,75
Jailson Caeiro,75,RB,Brazil,Ceará Sporting Club,70,53,63,72,74,69
Kaíqundo Calado,75,RB,Brazil,Atlético Clube Goianiense,82,51,64,71,72,73
Estevão Candeira,75,RB,Brazil,Flamengo,77,59,70,69,70,68
Jorginhson,75,CDM,Brazil,Ceará Sporting Club,70,57,68,74,76,64
L. Tousart,75,CB,France,Hertha BSC,63,53,64,66,76,82
Cris Laranjeiros,75,CB,Brazil,Club Athletico Paranaense,70,54,61,64,75,81
Kaíquão Castro,75,GK,Brazil,Fluminense,77,76,61,73,36,72
Danisco Fachini,75,CDM,Brazil,Flamengo,66,43,67,69,74,70
Jesus Andradaldo,75,RB,Brazil,Cuiabá,71,46,67,73,75,72
Rubens Freitosa,75,CM,Brazil,Club Athletico Paranaense,64,64,73,71,68,76
Davi Parrela,75,CB,Brazil,Atlético Clube Goianiense,64,40,54,52,76,78
P. Lees-Melou,75,CM,France,Stade Brestois 29,65,72,76,75,67,74
T. Davies,75,CM,England,Everton,65,64,73,75,69,70
F. Centonze,75,RWB,France,FC Metz,81,51,68,70,70,78
Edu Expósito,75,CM,Spain,RCD Espanyol de Barcelona,64,73,75,75,72,69
A. Barboza,75,CB,Argentina,Club Libertad,51,57,60,64,73,87
B. Heynen,75,CM,Belgium,KRC Genk,65,71,74,73,71,72
M. Pjaca,75,CAM,Croatia,Empoli,77,69,74,81,41,63
Toni Villa,75,LM,Spain,Girona FC,74,63,74,77,53,49
W. Anton,75,CB,Germany,VfB Stuttgart,64,46,59,65,75,79
T. Ouwejan,75,LWB,Netherlands,FC Schalke 04,73,61,77,72,69,75
T. Lorch,75,RW,South Africa,Orlando Pirates,78,73,71,74,46,55
Kevin,75,RB,Spain,RC Celta de Vigo,66,53,67,66,73,66
L. Godoy,75,RB,Argentina,Estudiantes de La Plata,85,57,66,73,69,80
J. Cullen,75,CDM,Republic of Ireland,Burnley,68,56,73,71,72,71
S. Berge,75,CB,Norway,Sheffield United,64,62,71,72,73,83
C. Guanca,75,CAM,Argentina,Al Shabab,76,74,72,75,40,70
L. Haraslín,75,LM,Slovakia,AC Sparta Praha,80,68,70,79,40,60
S. Rahimi,75,LM,Morocco,Al Ain FC,85,73,70,74,38,65
Moleiro,75,CAM,Spain,Unión Deportiva Las Palmas,77,66,72,78,46,59
F. Gatti,75,CB,Italy,Juventus,68,35,48,54,76,76
P. Jansson,75,CB,Sweden,Brentford,53,42,54,62,75,79
V. Aboubakar,75,ST,Cameroon,Al Nassr,73,74,71,75,36,81
P. Dawidowicz,75,CB,Poland,Hellas Verona,62,48,63,65,76,77
C. Goldson,75,CB,England,Rangers FC,69,50,62,65,74,82
S. Rahimi,75,LM,Morocco,Al Ain FC,85,73,70,74,38,65
T. Pukki,75,ST,Finland,Norwich City,77,76,62,73,36,73
A. Palavecino,75,CAM,Argentina,River Plate,77,72,76,79,63,64
A. Luthe,75,GK,Germany,1. FC Kaiserslautern,76,70,61,76,38,77
T. O'Brien,75,GK,England,AFC Richmond,77,74,72,78,40,74
D. Criscito,75,CB,Italy,Toronto FC,68,61,74,71,77,71
T. Adarabioyo,75,CB,England,Fulham,72,31,57,58,75,77
Cris Laranjeiros,75,CB,Brazil,Club Athletico Paranaense,70,54,61,64,75,81
A. Iwobi,75,RM,Nigeria,Everton,74,64,72,78,38,65
A. Duncan,75,CDM,Ghana,Fiorentina,73,64,72,74,74,81
F. Caicedo,75,ST,Ecuador,Abha Club,65,74,67,71,43,74
Fábio Cardoso,75,CB,Portugal,FC Porto,61,32,52,64,76,80
M. Bayo,75,ST,Guinea,LOSC Lille,70,76,60,73,26,62
P. Aguilar,75,CB,Paraguay,Club Libertad,63,52,54,57,77,74
Cédric,75,RB,Portugal,Arsenal,71,61,70,75,73,64
M. Wöber,75,CB,Austria,FC Red Bull Salzburg,72,51,66,64,74,80
B. Petković,75,CAM,Croatia,Dinamo Zagreb,74,72,76,79,39,75
R. Mandragora,75,CDM,Italy,Fiorentina,55,65,74,75,74,75
D. Bouanga,75,LM,Gabon,Los Angeles FC,84,73,70,76,38,72
F. Sotoca,75,ST,France,Racing Club de Lens,74,72,69,71,43,80
Aguado,75,CM,Spain,Real Valladolid CF,75,70,73,74,62,61
S. Giménez,75,ST,Mexico,Feyenoord,74,76,67,71,52,80
O. Lingr,75,CAM,Czech Republic,SK Slavia Praha,79,73,71,77,44,78
T. Bakayoko,75,CB,France,AC Milan,61,48,65,71,75,83
A. Harit,75,CAM,Morocco,Olympique de Marseille,74,62,71,79,39,49
K. Danso,75,CB,Austria,Racing Club de Lens,79,32,50,57,73,78
D. Martínez,75,CB,Paraguay,River Plate,79,54,70,66,74,79
G. Bushchan,75,GK,Ukraine,Dynamo Kyiv,76,65,80,78,27,72
G. Kamara,75,CDM,Finland,Rangers FC,76,60,71,76,72,76
J. Doku,75,CAM,Belgium,Stade Rennais FC,91,65,66,80,25,64
L. Balerdi,75,CB,Argentina,Olympique de Marseille,68,36,57,64,75,75
É. Balanta,75,CB,Colombia,Club Brugge KV,64,43,62,69,76,84
O. Kukoč,75,RM,England,AFC Richmond,80,61,73,75,67,58
U. Babatunde,75,CB,Nigeria,AFC Richmond,65,39,49,56,75,82
D. Cockburn,75,ST,Jamaica,AFC Richmond,69,78,64,76,30,66
J. Aholou,75,CDM,Côte d'Ivoire,RC Strasbourg Alsace,64,60,68,69,73,77
G. Rutter,75,ST,France,TSG Hoffenheim,77,74,59,77,24,64
Luiz Gustavo,75,CDM,Brazil,Al Nassr,55,61,68,69,76,80
E. Valencia,75,ST,Ecuador,Fenerbahçe SK,87,74,67,74,47,78
Gonçalo Ramos,75,ST,Portugal,SL Benfica,77,73,64,74,40,80
Vitinho,75,LM,Brazil,Ettifaq FC,79,76,72,77,39,61
L. Olaza,75,LB,Uruguay,Real Valladolid CF,75,69,71,71,71,68
Kévin Rodrigues,75,LB,Portugal,Adana Demirspor,73,71,76,74,71,58
K. Piątek,75,ST,Poland,US Salernitana 1919,72,76,54,72,36,71
Vallejo,75,CB,Spain,Real Madrid CF,67,42,57,64,76,66
V. Nelsson,75,CB,Denmark,Galatasaray SK,71,43,62,64,74,83
J. Ramsey,75,CAM,England,Aston Villa,75,74,71,78,67,74
Zainadine,75,CB,Mozambique,Clube Sport Marítimo,74,46,57,63,76,77
A. McCarthy,75,GK,England,Southampton,74,72,61,80,57,72
Toni Villa,75,LM,Spain,Girona FC,74,63,74,77,53,49
A. Younes,75,CAM,Germany,FC Utrecht,69,68,72,81,38,61
C. Arango,75,ST,Colombia,Los Angeles FC,75,74,63,75,35,72
L. Burián,75,GK,Uruguay,Vélez Sarsfield,76,72,71,74,51,78
G. Til,75,ST,Netherlands,PSV,69,75,70,72,61,75
K. Akpoguma,75,CB,Nigeria,TSG Hoffenheim,77,48,59,70,76,73
D. Kyereh,75,CAM,Ghana,Sport-Club Freiburg,81,72,66,80,24,62
O. Yokuşlu,75,CDM,Turkey,West Bromwich Albion,59,70,70,70,73,81
D. Cheryshev,75,LM,Russia,Venezia FC,73,73,74,74,57,65
R. Quioto,75,ST,Honduras,Club de Foot Montréal,85,73,69,71,22,81
J. Wallace,75,CAM,England,West Bromwich Albion,77,72,74,75,45,67
Wendell,75,LB,Brazil,FC Porto,79,54,70,76,69,70
M. Ngadeu,75,CB,Cameroon,KAA Gent,60,44,56,61,74,83
Duirval Diniz,75,CB,Brazil,Club Athletico Paranaense,53,47,55,52,77,74
Álex Baena,75,CAM,Spain,Villarreal CF,76,74,73,74,59,62
Elildo Petri,75,RM,Brazil,Palmeiras,73,68,75,77,29,67
D. Turnbull,75,CAM,Scotland,Celtic,68,72,77,74,63,65
E. Destanoğlu,75,GK,Turkey,Beşiktaş JK,75,74,73,75,38,75
Dênildo Stein,75,ST,Brazil,Ceará Sporting Club,76,76,61,73,30,64
C. Roberts,75,RB,Wales,Burnley,78,54,66,69,69,74
J. Ayew,75,RW,Ghana,Crystal Palace,74,73,69,77,55,73
T. Horn,75,GK,Germany,1. FC Köln,75,75,58,78,47,69
Formosandrinho,75,ST,Brazil,Clube Atlético Mineiro,77,77,60,73,24,60
L. Openda,75,ST,Belgium,Racing Club de Lens,93,73,64,74,26,76
T. Foket,75,RB,Belgium,Stade de Reims,72,57,69,71,71,76
E. Gómez,75,LB,Argentina,River Plate,81,62,71,74,67,77
E. Pinnock,75,CB,Jamaica,Brentford,67,37,57,61,76,79
B. Martins Indi,75,CB,Netherlands,AZ Alkmaar,44,42,58,58,76,80
D. Ward,75,GK,Wales,Leicester City,75,73,67,76,45,74
R. Thomas,75,CB,France,Stade Malherbe Caen,33,37,54,47,76,72
Rafael Cachoira,75,CB,Brazil,RB Bragantino,53,40,58,59,77,77
R. Alessandrini,75,ST,France,Shenzhen FC,85,78,72,78,45,68
Dodô,75,RM,Brazil,Fiorentina,88,59,71,77,68,70
Riqui Puig,75,CAM,Spain,LA Galaxy,65,64,73,80,58,49
João Paulo,75,CM,Brazil,Seattle Sounders FC,72,69,77,75,69,70
N. Sansone,75,CAM,Italy,Bologna,78,71,71,80,44,54
Dani García,75,CDM,Spain,Athletic Club de Bilbao,37,63,70,70,74,81
Pepelu,75,CM,Spain,Levante Unión Deportiva,64,64,76,71,71,76
R. Rojas,75,RB,Paraguay,River Plate,80,56,64,66,74,76
T. Cairney,75,CM,Scotland,Fulham,58,73,77,76,62,64
J. Seri,75,CM,Côte d'Ivoire,Hull City,65,67,77,76,67,65
P. Lees-Melou,75,CM,France,Stade Brestois 29,65,72,76,75,67,74
J. Aribo,75,CAM,Nigeria,Southampton,80,68,72,78,68,76
T. Fountas,75,ST,Greece,D.C. United,88,75,66,76,47,65
J. El Yamiq,75,CB,Morocco,Real Valladolid CF,86,48,52,62,74,80
F. Cristaldo,75,CAM,Argentina,Club Atlético Huracán,75,69,72,74,63,72
S. Kolašinac,75,LB,Bosnia and Herzegovina,Olympique de Marseille,73,62,68,70,71,85
Iborra,75,CDM,Spain,Levante Unión Deportiva,53,64,72,65,74,79
M. Eggestein,75,CDM,Germany,Sport-Club Freiburg,59,63,70,73,71,74
Jorginhson,75,CDM,Brazil,Ceará Sporting Club,70,57,68,74,76,64
Kevin,75,RB,Spain,RC Celta de Vigo,66,53,67,66,73,66
S. Zuber,75,LW,Switzerland,AEK Athens,77,73,73,76,67,73
R. Sessegnon,75,LM,England,Tottenham Hotspur,82,65,72,77,68,66
L. Giannetti,75,CB,Argentina,Vélez Sarsfield,71,34,54,55,77,78
Matheus,75,LM,Brazil,Zhejiang Professional FC,85,75,64,79,36,62
A. Christiansen,75,CM,Denmark,Malmö FF,75,73,73,77,65,73
Iván Alejo,75,RW,Spain,Cádiz CF,81,73,73,76,44,67
A. El Ghazi,75,ST,Netherlands,PSV,70,78,70,75,35,66
Lincoln,75,LM,Brazil,Fenerbahçe SK,78,70,77,78,45,65
M. Dabbur,75,ST,Israel,TSG Hoffenheim,57,74,65,77,32,68
B. Chardonnet,75,CB,France,Stade Brestois 29,54,45,54,60,75,76
Y. Atal,75,RM,Algeria,OGC Nice,88,67,71,79,68,68
F. Zuqui,75,CM,Argentina,Estudiantes de La Plata,73,63,76,74,69,73
Y. Chará,75,RW,Colombia,Portland Timbers,91,69,67,78,52,71
A. Maxim,75,CAM,Romania,Gazişehir Gaziantep F.K.,69,73,73,79,32,58
A. Barboza,75,CB,Argentina,Club Libertad,51,57,60,64,73,87
T. Davies,75,CM,England,Everton,65,64,73,75,69,70
A. Mandous,75,GK,Czech Republic,SK Slavia Praha,76,75,79,77,19,73
S. Larsson,75,CAM,Sweden,Antalyaspor,76,72,73,80,38,59
I. Schranz,75,ST,Slovakia,SK Slavia Praha,83,75,67,74,65,76
N. Füllkrug,75,ST,Germany,SV Werder Bremen,61,76,62,70,36,74
André Gomes,75,CM,Portugal,LOSC Lille,51,67,76,75,69,74
L. Abergel,75,CDM,France,FC Lorient,69,49,68,72,71,75
J. Pešek,75,RM,Czech Republic,AC Sparta Praha,86,69,69,77,28,49
A. Losilla,75,CDM,France,VfL Bochum 1848,52,57,67,71,72,76
F. Gatti,75,CB,Italy,Juventus,68,35,48,54,76,76
Álex Baena,75,CAM,Spain,Villarreal CF,76,74,73,74,59,62
J. Larsen,75,RB,Denmark,Trabzonspor,77,60,71,73,70,75
Samu Sáiz,75,RW,Spain,Girona FC,79,75,74,77,31,70
T. Lamptey,75,RWB,Ghana,Brighton & Hove Albion,87,44,66,76,70,49
Zé Luís,75,ST,Cape Verde Islands,Atakaş Hatayspor,70,74,59,71,33,75
J. Lindstrøm,75,CAM,Denmark,Eintracht Frankfurt,87,70,69,78,48,63
R. Henry,75,LWB,England,Brentford,90,40,59,74,70,72
N. Pérez,75,CB,Argentina,Udinese Calcio,57,25,47,51,77,74
M. Gibbs-White,75,CAM,England,Nottingham Forest,76,70,73,76,57,66
Daniel Bragança,75,CAM,Portugal,Sporting CP,80,66,75,81,64,63
G. Higuaín,75,ST,Argentina,Inter Miami CF,48,79,71,72,28,64
A. Lunin,75,GK,Ukraine,Real Madrid CF,74,71,73,76,37,75
N. Stark,75,CB,Germany,SV Werder Bremen,75,50,63,67,76,75
J. Brownhill,75,CDM,England,Burnley,67,65,71,74,75,78
Omar Mascarell,75,CDM,Spain,Elche CF,57,60,69,72,72,71
Lekue,75,RB,Spain,Athletic Club de Bilbao,81,62,70,70,70,72
P. Beruatto,75,LB,Italy,Pisa,70,43,59,65,75,69
Davi Parrela,75,CB,Brazil,Atlético Clube Goianiense,64,40,54,52,76,78
A. Král,75,CDM,Czech Republic,FC Schalke 04,71,70,71,75,72,78
Ș. Radu,75,CB,Romania,Lazio,55,64,65,68,79,69
R. Vargas,75,LM,Switzerland,FC Augsburg,89,69,67,79,54,64
A. Maitland-Niles,75,RWB,England,Southampton,78,62,70,74,70,71
D. Spence,75,RWB,England,Tottenham Hotspur,89,43,58,74,67,63
P. Ševčík,75,CM,Czech Republic,SK Slavia Praha,74,70,76,77,69,73
J. Russell,75,RW,Scotland,Sporting Kansas City,77,75,71,76,50,79
M. Gusto,75,RB,France,Olympique Lyonnais,86,49,68,70,67,71
A. Theate,75,CB,Belgium,Stade Rennais FC,72,40,51,53,75,79
A. Ömür,75,CAM,Turkey,Trabzonspor,83,66,73,81,52,56
